 사업장명,소재지,업종,기업규모,임금,일생활균형,고용안정,비고
(주)유플러스시스템,"서울특별시 금천구 가산디지털1로 25, 1206호",정보통신업,중소기업 28,0,1,1,2
주식회사 새누,"서울특별시 금천구 가산디지털1로 171, 912~918호(가산동,SK V1 센터)",정보통신업,중소기업 26,0,1,0,1
(주)엔라이즈,"서울특별시 서초구 서초대로77길 55, 9층(서초동,에이프로스퀘어)",정보통신업,중소기업 56,1,1,1,3
주식회사 티엔코아,"서울특별시 강서구 마곡중앙2로 5, 510호",제조업,중소기업 35,1,1,1,3
(주)버즈빌,"서울특별시 송파구 석촌호수로272, MY빌딩 2~5층","전문, 과학 및 기술 서비스업",중소기업 102,1,1,0,2
(주)코어소프트,"서울특별시 금천구 두산로 70, A동 2601호(독산동,현대지식산업센터)",정보통신업,중소기업 28,0,1,1,2
(주)이노티브아이엔씨,"서울특별시 금천구 디지털로9길 99, 611~612호(가산동,스타밸리)",도매 및 소매업,중소기업 16,0,1,1,2
(주)이엠비,"서울특별시 금천구 가산디지털1로 84, 809호(가산동,에이스하이엔드타워 8차)",제조업,중소기업 19,0,0,1,1
(주)이케이네트웍스,"서울특별시 금천구 가산디지털2로 70, 904,905호(가산동,대륭테크노타운19차)",정보통신업,중소기업 22,0,0,1,1
컴즈 주식회사,"서울특별시 구로구 디지털로34길 27, 1004,1005호(구로동,대륭포스트타워3차)",정보통신업,중소기업 198,0,0,1,1
린데코리아(주),"서울특별시 강남구 테헤란로98길 8, 5층(대치동,KT&G 대치타워)",제조업,중견기업 421,1,1,0,2
(주)아이스트,"서울특별시 송파구 법원로11길 7, C동 1204호(문정동,현대지식산업센터)","전문, 과학 및 기술 서비스업",중소기업 48,0,0,1,1
